아임 히어로 더 파이널,오윤동,"2022년 겨울 고척스카이돔을 뜨겁게 달궜던 ‘아임 히어로(IM HERO)’ 임영웅의 앵콜 콘서트, 그 대단원의 감동을 재현할 <아임 히어로 더 파이널>이 스크린X로 2023년 관객들을 찾아온다.
 
 “제가 마치 트루먼 쇼의 주인공이 된 것 같아요”
 
 자신이 영화 ‘트루먼 쇼’의 주인공이 된 것 같다고 말하지만, 그러면서도 팬덤 ‘영웅시대’를 위해 매 순간 혼신의 힘을 다하는 ‘현실 임영웅’의 모습과 진심 어린 인터뷰, 영화에서만 만나볼 수 있는 전국 투어 비하인드 스토리까지.",9.87
더 퍼스트 슬램덩크,이노우에 다케히코,"전국 제패를 꿈꾸는 북산고 농구부 5인방의 꿈과 열정, 멈추지 않는 도전을 그린 영화",9.28
다음 소희,정주리,"“나 이제 사무직 여직원이다?”
 춤을 좋아하는 씩씩한 열여덟 고등학생 소희.
 졸업을 앞두고 현장실습을 나가게 되면서 점차 변하기 시작한다.
 
 “막을 수 있었잖아. 근데 왜 보고만 있었냐고”
 오랜만에 복직한 형사 유진.
 사건을 조사하던 중, 새로운 사실을 발견하고 그 자취를 쫓는다.
 
 같은 공간 다른 시간, 언젠가 마주쳤던 두 사람의 이야기.
 우리는 모두 그 애를 만난 적이 있다.",8.76
로마의 휴일,윌리엄 와일러,"왕실의 딱딱한 제약과 정해진 스케줄에 피곤해 지고 싫증난 앤 공주(Princess Ann: 오드리 헵번 분)는 거리로 뛰쳐나가 잠들었다가 어느 신사(Joe Bradley: 그레고리 펙 분)를 만난다. 그와 함께 아이스크림도 맛나게 먹고 신나게 스쿠터를 타고 다니면서 서민의 즐거운 생활을 맛 본 앤 공주는 신사와의 고별식이 다가오자 무척이나 아쉬워한다. 한편 거리에서 벤치에 잠든 여인을 만난 그 신사는 특종을 찾는 신문기자였다. 그저 불쌍한 여인인 줄 알았던 아가씨가 앤 공주임을 알아챈 기자는 굴러들어온 특종감을 만났으니 신나기 그지없었다. 아무 것도 모르는 앤 공주는 신사가 이끄는 대로 로마 거리를 즐겁게 따라다니면서 헤프닝을 벌여서 그야말로 특종 사진감이 되어준다. 친절하고 온건한 신사 죠에게 어느새 정이 든 앤 공주, 그리고 자신의 특종을 위해서 열심히 뛴 죠 기자도 이렇게 너무나 순순한 앤 공주에게 이끌리는 마음은 어쩔 수가 없었다. 그래서 특종을 목표로 찍었던 사진들을 보도하지 않기로 결심하고, 기자회견 석상에서 아무렇지도 않게 앤에게 건네준다.",9.75
벤허,윌리엄 와일러,"서기 26년, 로마 제국 시대 ‘유다 벤허’(찰스 헤스톤)는 예루살렘의 제일 가는 유태 귀족이다.
 어느 날, 로마의 지배하에 있던 이스라엘에 새로운 총독이 부임해오고,
 그를 보좌하는 주둔 사령관으로 벤허의 옛 친구인 멧살라(스티븐 보이드)가 임명된다.
 그러나, 어린 시절과는 달리 로마와 이스라엘이라는 적대적인 상황에 의해 둘 사이의 우정에 금이 가게 되고,
 신임 총독의 부임 축하 행진 중 벤허의 여동생 티자(캐시 오도녤)의 실수로 총독이 부상을 당하는 사건이 발생한다.
 멧살라는 유다의 계획적인 범행으로 몰아 벤허 가족을 잡아들이고,
 벤허는 모든 것을 잃은 채 노예로 팔려가게 되는데……",9.36
극장판 주술회전 0,박성후,"어릴 적 소꿉친구인 오리모토 리카를 교통사고로 눈앞에서 잃은 옷코츠 유타.
 
 “약속해, 리카와 유타는 어른이 되면 결혼하기로”
 옷코츠는 원령으로 변한 리카의 저주에 괴로워한 나머지, 자신도 죽기를 바라지만 최강의 주술사인 고죠 사토루에 의해 주술고전에 들어가게 된다. 그리고 동급생인 젠인 마키, 이누마키 토게, 판다를 만나면서 굳은 결심을 한다.
 
 “살아도 된다는 자신감이 필요해”
 “나는 주술고전에서 리카의 저주를 풀겠습니다”
 한편, 옷코츠와 친구들 앞에 과거에 일반인을 대량으로 학살해서 고전에서 추방된 최악의 주저사인 게토 스구루가 나타난다.
 
 “12월 24일, 우리는 백귀야행을 결행한다”
 주술사만의 낙원을 만들려는 게토는 비술사를 섬멸하겠다면서, 신주쿠와 교토에 천의 저주를 내리는데…과연 옷코츠는 게토를 막을 수 있을까? 그리고 리카의 저주를 풀 수 있을까?",8.97
킹 오브 프리즘,히시다 마사카즈,"화려하게 데뷔한 Over The Rainbow의 히로, 코우지, 카즈키는
 순식간에 여성들의 마음을 사로 잡으며 단숨에 프리즘 계의 정점에 올랐다.
 에델로즈에는 그들을 동경하는 신입생들이 속속 입학했지만,
 갑자기 <슈왈츠로즈>라는 대립 세력이 나타나 에델로즈는 곤경에 빠진다.
 한편, 천재 아티스트이자 Over The Rainbow를 이끌어 온 코우지는
 미국에서 거액의 영화 음반 제작 제안을 받게 되는데..
 4년마다 열리는 프리즘 킹 컵을 앞둔 세 소년의 선택은...?!
 
 에델로즈의 존망 위기
 7명의 에델로즈 신입생
 슈왈츠로즈에서 온 도전자
 그리고 갑자기 나타난 의문의 소년
 
 여성의 마음을 가장 설레게 만든 스타,
 프리즘 킹은 과연 누가 될 것인가?!",9.73
카시오페아,신연식,"이혼 후 변호사, 엄마로 완벽한 삶을 살아가려고 노력하는 수진은 하나뿐인 딸 지나의 미국 유학을 준비하고 있다. 정신없이 바쁜 수진을 위해 아빠 인우가 손녀를 돌보게 되면서 세 사람은 함께 살게 된다. 얼마 후 수진은 교통사고를 당하고, 병원에서 알츠하이머라는 뜻밖의 결과를 듣게 된다. 사랑하는 딸을 잊을까 봐 두려워하는 수진을 위해 아빠 인우는 수진의 곁을 지키고, 기억을 잊어도 살아갈 수 있도록 이들 부녀만의 애틋한 동행이 시작된다.",8.44
킹 오브 프리즘 프라이드 더 히어로,히시다 마사카즈,"Over The Rainbow의 라이브를 보고 프리즘 쇼를 동경해 에델로즈에 입학하게 된 이치죠 신.
 그곳엔 7명의 신입생들이 미래의 프리즘스타가 되기 위해 연습하고 있었다.
 하지만, 노리즈키 진이 이끄는 슈왈츠로즈의 음모가
 에델로즈를 해체 위기로 몰아넣는다.
 
 에델로즈를 구하기 위해 잠정 활동 중단에 들어간 Over The Rainbow.
 코우지는 거액의 빚을 갚기 위해 할리우드로 영화음악을 제작하러 떠나고,
 카즈키는 스트리트 계로서의 초심을 돌아보고,
 히로는 실력 향상을 위해 특훈에 돌입한다.
 
 각자의 위치에서 프리즘스타로서의 자신과 마주 보는 멤버들.
 선배로부터 후배에게 이어지는 바통. 되돌아보는 동료와의 인연.
 
 파란 속에 드디어 프리즘 킹 컵 개막.
 지금까지 그 누구도 본 적 없는 프리즘 점프의 숨 막히는 응수.
 킹 오브 프리즘의 왕관은 과연 누구의 머리 위에서 빛날 것인가.",9.83
탄생,박흥식,"호기심 많고 말보다 행동이 앞서는 청년 김대건.
 조선 최초의 신부가 되라는 운명을 기꺼이 받아들이고,
 신학생 동기 최양업, 최방제와 함께 마카오 유학길에 나선다.
 나라 안팎으로 외세의 침략이 계속되고 아편전쟁이 끝나지 않은 시기,
 김대건은 바다와 육지를 종횡무진 누비며 마침내 조선 근대의 길을 열어젖힌다!",8.23
꽃다발 같은 사랑을 했다,도이 노부히로,"“시작은 막차였다”
 집으로 가는 막차를 놓친 스물한 살 대학생 ’무기’와 ‘키누’는
 첫차를 기다리며 함께 시간을 보내게 된다.
 좋아하는 책부터 영화, 신고 있는 신발까지 모든 게 꼭 닮은 두 사람은
 수줍은 고백과 함께 연애를 시작하고 매일매일 행복한 시간을 쌓아간다.
 
 “내 인생의 목표는 너와의 현상 유지야!”
 하지만 대학 졸업과 함께 취업 준비에 나선 두 사람은 점점 서로에게 소원해지고
 꿈과 현실 사이의 거리 만큼 마음의 거리도 멀어지기 시작하는데...",8.52
십계,세실 B. 데밀,"이집트의 고센 지방에 자리 잡고 수백년을 살아 온 이스라엘 민족(히브리인)이 나날이 번성해 가자, 이집트의 왕 파라오가 그에 위협을 느끼고 히브리인의 장자를 모두 죽이라고 명한다. 요케벨(마샤 스콧 분)이라는 히브리 여인은 파라오의 명령으로부터 아들을 보호하기 위해 아들을 바구니에 넣어 나일강에 띄워 보낸다. 때마침 강가에서 노닐고 있던 파라오의 딸 비티아(니나 포치 분)가 아기를 발견하고, 모세란 이름을 지어준 다음 자신의 아들로 삼아 키운다. 세월이 흘러 비티아의 오빠 세티(세드릭 하드위케 분)가 왕이 된다. 씩씩한 청년으로 자란 모세(찰톤 헤스톤 분)는 용감하고 품위있는 성품으로 세티의 사랑을 받고, 공주인 네프레티리(앤 백스터 분)의 연인이 된다. 세티의 아들 람세스(율 브린너 분)는 아버지 세티로부터 왕위를 계승받기 위해 안간힘을 쓰며, 모세를 견제하고 모함한다.
  어느날 모세는 자신이 이집트 왕족이 아니라 히브리 노예의 아들이라는 사실을 알게 된다. 그는 왕자로서의 부귀영화와 공주 네페르타리의 사랑을 뒤로 한 채 동족의 곁으로 돌아와 이집트인의 노예로서 처참한 생활을 하고 있는 동족의 고통을 함께 나눈다. 400년 간 노예 생활을 해온 히브리인들은 언젠가 하느님이 인도자를 보내 주시어 그들을 이집트에서 구해 내시고 젖과 꿀이 흐르는 땅으로 인도하리라는 기다림 속에서 살아가고 있었다. 그러던 중 모세가 노예의 아들이라는 사실이 람세스에게 알려지고 모세는 광야로 추방된다. 광야를 헤매던 모세는 미디안에 이르고, 그곳에서 세포라(이본느 드 칼로 분)라는 양치기 여인과 혼인해 아들을 낳고 평화롭게 살아가던 중 시나이 산에서 하느님의 부름을 받고, 이집트로 돌아가 동포를 구해 내라는 명령을 받게 되는데..",
"안녕, 나의 소울메이트",증국상,"열셋, 운명처럼 우리의 우정은 시작되었다.
 열일곱, 우리에게도 첫사랑이 생겼다.
 스물, 어른이 된다는 건 이별을 배우는 것이었다.
 스물셋, 널 나보다 사랑할 수 없음에 낙담했다.
 스물일곱, 너를 그리워했다.
 
 14년간 함께, 또 엇갈리며 닮아갔던
 두 소녀의 애틋하고 찬란한 청춘 이야기!",8.81
영웅,윤제균,"어머니 ‘조마리아’(나문희)와 가족들을 남겨둔 채
 고향을 떠나온 대한제국 의병대장 ‘안중근’(정성화).
 
 동지들과 함께 네 번째 손가락을 자르는 단지동맹으로
 조국 독립의 결의를 다진 안중근은
 조선 침략의 원흉인 ‘이토 히로부미’를
 3년 내에 처단하지 못하면 자결하기로 피로 맹세한다.
 
 그 약속을 지키기 위해 블라디보스토크를 찾은 안중근.
 오랜 동지 ‘우덕순’(조재윤), 명사수 ‘조도선’(배정남), 독립군 막내 ‘유동하’(이현우),
 독립군을 보살피는 동지 ‘마진주’(박진주)와 함께 거사를 준비한다.
 
 한편 자신의 정체를 감춘 채 이토 히로부미에게 접근해
 적진 한복판에서 목숨을 걸고 정보를 수집하던 독립군의 정보원 ‘설희’(김고은)는
 이토 히로부미가 곧 러시아와의 회담을 위해
 하얼빈을 찾는다는 일급 기밀을 다급히 전한다.
 
 드디어 1909년 10월 26일,
 이날만을 기다리던 안중근은
 하얼빈역에 도착한 이토 히로부미를 향해
 주저 없이 방아쇠를 당긴다.
 현장에서 체포된 그는 전쟁 포로가 아닌 살인의 죄목으로,
 조선이 아닌 일본 법정에 서게 되는데…
 
 누가 죄인인가, 누가 영웅인가!",8.43
파벨만스,스티븐 스필버그,"난생 처음 극장에서 스크린을 마주한 순간부터 영화와 사랑에 빠진 소년 ‘새미’(가브리엘 라벨).
 아빠 ‘버트’(폴 다노)의 8mm 카메라를 들고 일상의 모든 순간을 담기 위해 열중하던 새미는
 우연히 필름에 포착된 가족의 비밀을 알게 되고 충격에 휩싸인다.
 진실을 비추는 필름의 힘을 실감한 새미에게 크고 작은 삶의 변화가 일어나고
 엄마 ‘미치’(미셸 윌리엄스)의 응원으로 영화를 향한 열정은 더욱 뜨거워져만 가는데…
 
 영원히 간직하고픈 기억,
 영화의 모든 순간과 사랑에 빠진다!",8.85
장화신은 고양이: 끝내주는 모험,조엘 크로포드,"아홉 개의 목숨 중 단 하나의 목숨만 남은 장화신은 고양이.
 마지막 남은 목숨을 지키기 위해 히어로의 삶 대신 반려묘의 삶을 선택한 그에게 찾아온 마지막 기회, 바로 소원을 들어주는 소원별이 있는 곳을 알려주는 지도!
 
 잃어버린 목숨을 되찾고 다시 히어로가 되기를 꿈꾸는 장화신은 고양이는
 뜻밖의 동료가 된 앙숙 파트너 '키티 말랑손', 그저 친구들과 함께 라면 모든 게 행복한 강아지 '페로'와 함께
 소원별을 찾기 위해 길을 떠난다.
 그리고 소원별을 노리는 또 다른 빌런들과 마주치게 되는데…
 
 새해를 여는 끝내주는 모험이 시작된다!",8.43
